Males	Females	Sequences	P	Signif
7	5	168	0.791119	False
7	6	229	1	False
7	7	246	1	False
7	8	233	0.940108	False
7	9	223	0.713178	False
7	10	254	0.516436	False
7	11	109	0.357111	False
7	12	106	0.235875	False
7	13	77	0.148826	False
7	14	72	0.0896758	False
7	15	45	0.0515706	False
7	16	31	0.0282762	False
7	17	24	0.0147609	False
7	18	30	0.00732271	False
7	19	15	0.0034443	False
7	20	7	0.00153175	False
7	21	3	0.000641946	False
7	22	1	0.000252549	False
7	23	0	9.28483e-05	False
7	24	0	3.17333e-05	False
7	25	1	1.0022e-05	False
7	26	0	2.90456e-06	False
7	27	0	7.66331e-07	False
7	28	0	1.82369e-07	False
7	29	0	3.87292e-08	True
7	30	0	7.2492e-09	True
8	0	47	0.00913285	False
8	1	47	0.0344475	False
8	2	106	0.0939697	False
8	3	99	0.202318	False
8	4	179	0.364604	False
8	5	187	0.573149	False
8	6	321	0.809909	False
8	7	190	1	False
8	8	193	1	False
8	9	196	0.935358	False
8	10	231	0.716574	False
8	11	162	0.524607	False
8	12	210	0.366894	False
8	13	94	0.245024	False
8	14	101	0.15617	False
8	15	46	0.0949193	False
8	16	43	0.0549522	False
8	17	20	0.0302578	False
8	18	28	0.0158155	False
8	19	14	0.00782892	False
8	20	9	0.0036598	False
8	21	2	0.00161022	False
8	22	1	0.00066414	False
8	23	0	0.000255605	False
8	24	0	9.13009e-05	False
8	25	1	3.0079e-05	False
8	26	0	9.07391e-06	False
8	27	1	2.48557e-06	False
8	28	0	6.12254e-07	False
8	29	0	1.34089e-07	True
8	30	0	2.5767e-08	True
9	0	67	0.00458304	False
9	1	40	0.0180568	False
9	2	76	0.052525	False
9	3	142	0.121527	False
9	4	143	0.235564	False
9	5	199	0.397156	False
9	6	195	0.59893	False
9	7	193	0.825439	False
9	8	184	1	False
9	9	279	1	False
9	10	276	0.930545	False
9	11	166	0.718157	False
9	12	133	0.530049	False
9	13	114	0.373766	False
9	14	111	0.25156	False
9	15	88	0.161419	False
9	16	65	0.0986168	False
9	17	50	0.0572672	False
9	18	25	0.0315456	False
9	19	9	0.016443	False
9	20	16	0.00808645	False
9	21	8	0.00373899	False
9	22	3	0.0016188	False
9	23	4	0.000653119	False
9	24	2	0.000244189	False
9	25	0	8.40564e-05	False
9	26	2	2.64388e-05	False
9	27	0	7.53202e-06	False
9	28	0	1.92361e-06	False
9	29	0	4.35141e-07	False
9	30	0	8.59634e-08	True
10	0	11	0.0022575	False
10	1	66	0.00925102	False
10	2	27	0.0285121	False
10	3	57	0.0704702	False
10	4	74	0.146257	False
10	5	93	0.263728	False
10	6	120	0.423994	False
10	7	182	0.620142	False
10	8	187	0.838621	False
10	9	190	1	False
10	10	176	1	False
10	11	161	0.925633	False
10	12	156	0.718241	False
10	13	181	0.533196	False
10	14	136	0.378115	False
10	15	115	0.25575	False
10	16	249	0.164715	False
10	17	69	0.100822	False
10	18	36	0.0585211	False
10	19	28	0.0321269	False
10	20	35	0.0166297	False
10	21	9	0.00808694	False
10	22	6	0.00367889	False
10	23	2	0.00155783	False
10	24	2	0.000610471	False
10	25	1	0.000219889	False
10	26	1	7.22255e-05	False
10	27	0	2.14335e-05	False
10	28	0	5.68434e-06	False
10	29	0	1.33011e-06	False
10	30	0	2.70477e-07	False
11	0	4	0.00108899	False
11	1	21	0.0046267	False
11	2	37	0.0150321	False
11	3	54	0.0394898	False
11	4	46	0.0873945	False
11	5	66	0.168059	False
11	6	95	0.287605	False
11	7	172	0.446358	False
11	8	143	0.637885	False
11	9	222	0.85005	False
11	10	202	1	False
11	11	171	1	False
11	12	114	0.920581	False
11	13	148	0.717028	False
11	14	154	0.534341	False
11	15	131	0.380211	False
11	16	150	0.257785	False
11	17	74	0.166169	False
11	18	65	0.101585	False
11	19	36	0.0587306	False
11	20	24	0.0320058	False
11	21	24	0.0163781	False
11	22	29	0.00783493	False
11	23	11	0.00348565	False
11	24	2	0.0014334	False
11	25	3	0.000540991	False
11	26	9	0.000185837	False
11	27	1	5.75346e-05	False
11	28	0	1.58694e-05	False
11	29	0	3.84659e-06	False
11	30	0	8.06124e-07	False
12	0	2	0.000513322	False
12	1	11	0.00225562	False
12	2	15	0.00769393	False
12	3	20	0.0213923	False
12	4	40	0.0502975	False
12	5	43	0.102862	False
12	6	73	0.187054	False
12	7	92	0.307843	False
