SRR1519834	M
SRR1519835	M
SRR1519836	M
SRR1519837	M
SRR1519838	M
SRR1519839	M
SRR1519840	M
SRR1519841	M
SRR1519842	M
SRR1519843	M
SRR1519844	M
SRR1519845	M
SRR1519846	M
SRR1519847	M
SRR1519848	M
SRR1519849	M
SRR1519850	M
SRR1519851	M
SRR1519852	M
SRR1519853	M
SRR1519854	M
SRR1519855	M
SRR1519856	M
SRR1519857	M
SRR1519858	M
SRR1519859	M
SRR1519860	M
SRR1519861	M
SRR1519862	M
SRR1519863	M
SRR1519864	M
SRR1519804	F
SRR1519805	F
SRR1519806	F
SRR1519807	F
SRR1519808	F
SRR1519809	F
SRR1519810	F
SRR1519811	F
SRR1519812	F
SRR1519813	F
SRR1519814	F
SRR1519815	F
SRR1519816	F
SRR1519817	F
SRR1519818	F
SRR1519819	F
SRR1519820	F
SRR1519821	F
SRR1519822	F
SRR1519823	F
SRR1519824	F
SRR1519825	F
SRR1519826	F
SRR1519827	F
SRR1519828	F
SRR1519829	F
SRR1519830	F
SRR1519831	F
SRR1519832	F
SRR1519833	F
